2013-04-24 17:02:01 status unpacked libdrm2:amd64 2.4.43-0ubuntu1
2013-04-24 17:02:01 install libffi6:amd64 <none> 3.0.13-2ubuntu1
2013-04-24 17:02:01 status half-installed libffi6:amd64 3.0.13-2ubuntu1
2013-04-24 17:02:01 status unpacked libffi6:amd64 3.0.13-2ubuntu1
2013-04-24 17:02:01 status unpacked libffi6:amd64 3.0.13-2ubuntu1
2013-04-24 17:02:01 install libgcc1:amd64 <none> 1:4.7.3-1ubuntu1
2013-04-24 17:02:01 status half-installed libgcc1:amd64 1:4.7.3-1ubuntu1
2013-04-24 17:02:01 status unpacked libgcc1:amd64 1:4.7.3-1ubuntu1
2013-04-24 17:02:01 status unpacked libgcc1:amd64 1:4.7.3-1ubuntu1
2013-04-24 17:02:01 install libglib2.0-0:amd64 <none> 2.36.0-1ubuntu2
2013-04-24 17:02:01 status half-installed libglib2.0-0:amd64 2.36.0-1ubuntu2
2013-04-24 17:02:01 status unpacked libglib2.0-0:amd64 2.36.0-1ubuntu2
2013-04-24 17:02:01 status unpacked libglib2.0-0:amd64 2.36.0-1ubuntu2
2013-04-24 17:02:01 install libjson0:amd64 <none> 0.10-1.2ubuntu2
2013-04-24 17:02:01 status half-installed libjson0:amd64 0.10-1.2ubuntu2
2013-04-24 17:02:01 status unpacked libjson0:amd64 0.10-1.2ubuntu2
2013-04-24 17:02:01 status unpacked libjson0:amd64 0.10-1.2ubuntu2
2013-04-24 17:02:01 install libklibc:amd64 <none> 2.0.1-3.1ubuntu1
2013-04-24 17:02:01 status half-installed libklibc:amd64 2.0.1-3.1ubuntu1
2013-04-24 17:02:01 status unpacked libklibc:amd64 2.0.1-3.1ubuntu1
2013-04-24 17:02:01 status unpacked libklibc:amd64 2.0.1-3.1ubuntu1
2013-04-24 17:02:01 install libkmod2:amd64 <none> 9-3ubuntu1
2013-04-24 17:02:01 status half-installed libkmod2:amd64 9-3ubuntu1
2013-04-24 17:02:01 status unpacked libkmod2:amd64 9-3ubuntu1
2013-04-24 17:02:01 status unpacked libkmod2:amd64 9-3ubuntu1
2013-04-24 17:02:01 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu1
2013-04-24 17:02:01 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu1
2013-04-24 17:02:01 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu1
2013-04-24 17:02:01 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu1
2013-04-24 17:02:01 install libmount1:amd64 <none> 2.20.1-5.1ubuntu8
2013-04-24 17:02:01 status half-installed libmount1:amd64 2.20.1-5.1ubuntu8
2013-04-24 17:02:01 status unpacked libmount1:amd64 2.20.1-5.1ubuntu8
2013-04-24 17:02:01 status unpacked libmount1:amd64 2.20.1-5.1ubuntu8
2013-04-24 17:02:01 install libncurses5:amd64 <none> 5.9-10ubuntu4
2013-04-24 17:02:01 status half-installed libncurses5:amd64 5.9-10ubuntu4
2013-04-24 17:02:01 status unpacked libncurses5:amd64 5.9-10ubuntu4
2013-04-24 17:02:01 status unpacked libncurses5:amd64 5.9-10ubuntu4
2013-04-24 17:02:01 install libncursesw5:amd64 <none> 5.9-10ubuntu4
2013-04-24 17:02:01 status half-installed libncursesw5:amd64 5.9-10ubuntu4
2013-04-24 17:02:01 status unpacked libncursesw5:amd64 5.9-10ubuntu4
2013-04-24 17:02:01 status unpacked libncursesw5:amd64 5.9-10ubuntu4
2013-04-24 17:02:01 install libnih-dbus1:amd64 <none> 1.0.3-4ubuntu16
2013-04-24 17:02:01 status half-installed libnih-dbus1:amd64 1.0.3-4ubuntu16
2013-04-24 17:02:01 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu16
2013-04-24 17:02:01 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu16
2013-04-24 17:02:01 install libnih1:amd64 <none> 1.0.3-4ubuntu16
2013-04-24 17:02:01 status half-installed libnih1:amd64 1.0.3-4ubuntu16
2013-04-24 17:02:01 status unpacked libnih1:amd64 1.0.3-4ubuntu16
2013-04-24 17:02:01 status unpacked libnih1:amd64 1.0.3-4ubuntu16
2013-04-24 17:02:01 install libpam-modules:amd64 <none> 1.1.3-8ubuntu2
2013-04-24 17:02:01 status half-installed libpam-modules:amd64 1.1.3-8ubuntu2
2013-04-24 17:02:01 status unpacked libpam-modules:amd64 1.1.3-8ubuntu2
2013-04-24 17:02:01 status unpacked libpam-modules:amd64 1.1.3-8ubuntu2
2013-04-24 17:02:01 install libpam-modules-bin:amd64 <none> 1.1.3-8ubuntu2
2013-04-24 17:02:01 status half-installed libpam-modules-bin:amd64 1.1.3-8ubuntu2
2013-04-24 17:02:01 status unpacked libpam-modules-bin:amd64 1.1.3-8ubuntu2
2013-04-24 17:02:01 status unpacked libpam-modules-bin:amd64 1.1.3-8ubuntu2
2013-04-24 17:02:01 install libpam-runtime:all <none> 1.1.3-8ubuntu2
2013-04-24 17:02:01 status half-installed libpam-runtime:all 1.1.3-8ubuntu2
2013-04-24 17:02:01 status unpacked libpam-runtime:all 1.1.3-8ubuntu2
2013-04-24 17:02:01 status unpacked libpam-runtime:all 1.1.3-8ubuntu2
2013-04-24 17:02:01 install libpam0g:amd64 <none> 1.1.3-8ubuntu2
2013-04-24 17:02:01 status half-installed libpam0g:amd64 1.1.3-8ubuntu2
2013-04-24 17:02:01 status unpacked libpam0g:amd64 1.1.3-8ubuntu2
